,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
0,1263.90,1233.77,1140.72,1073.48,1041.89,1092.64,1037.56,1018.50,954.60,888.54,829.53,734.39,706.03,683.74,683.37,687.49,645.43,628.65,644.34,611.24,597.00,599.30,576.86,555.80,572.45,545.00,536.03,523.22,511.11,464.66,493.53,458.54,433.42,414.02,438.59,415.85,427.99,417.45,434.80,414.67,364.49,366.03,358.33,351.18,344.23,337.30,330.94,324.76,318.70,313.41,308.08,302.79,297.96,293.31,288.71,284.32,279.98,275.92,272.27,268.70,265.22,261.84,258.65,255.37,252.33,249.50,246.38,243.32,240.42,237.55,234.57,231.78,229.15,226.60,223.83,220.97,218.56,215.89,213.15,210.89,208.20,205.64,203.57,201.12,198.50,195.95,193.68,191.71,189.33,186.95,184.76,182.45,180.20,178.04,175.99,174.06,172.07,169.67,167.58,165.95,163.89,161.92,160.00,157.77,155.92,154.25,152.37,150.46,148.68,147.02,145.47,143.65,141.56,139.95,138.44,136.68,135.23,133.91,131.79,129.82,128.58,127.14,125.70,124.26,122.65,121.25,119.88,118.35,116.85,115.39,113.97,112.58,111.40,110.26,108.95,107.65,106.37,104.90,103.63,102.38
1,83.00,90.40,73.39,85.31,76.63,67.31,68.91,72.60,69.48,69.45,67.56,54.36,55.90,53.35,46.01,51.22,51.53,50.94,51.97,43.51,41.08,47.03,39.01,42.82,39.60,39.75,40.73,36.92,31.90,32.15,35.40,32.19,32.28,34.89,29.25,27.55,24.31,25.33,23.36,20.03,33.85,34.39,33.32,32.34,31.73,31.14,30.93,30.33,29.62,28.89,28.36,27.97,27.62,27.42,27.07,26.41,25.71,25.33,24.81,24.58,24.41,24.10,23.88,23.84,23.38,22.87,22.92,22.55,22.28,22.12,21.79,21.43,21.02,20.88,20.77,20.30,19.89,20.07,20.17,20.03,19.61,19.07,18.58,18.12,17.95,18.00,17.93,17.73,17.62,17.50,17.01,16.57,16.44,16.30,16.17,16.04,15.67,15.47,15.53,15.50,15.34,15.20,15.37,15.36,14.95,14.48,13.77,13.36,13.22,13.01,13.07,13.17,13.01,12.67,12.59,12.56,12.40,12.18,12.18,12.11,11.81,11.56,11.63,11.69,11.49,11.23,11.29,11.41,11.21,11.02,10.82,10.63,10.39,10.15,9.97,10.12,10.27,9.84,9.35,9.24
2,53.75,47.56,46.24,45.19,50.89,43.08,45.17,43.91,47.03,44.25,38.66,34.18,39.43,31.36,29.64,31.23,30.71,32.35,31.62,27.96,25.45,27.77,25.45,23.11,25.69,23.58,28.24,18.47,18.72,19.42,19.95,18.21,18.04,16.84,16.20,15.71,14.29,11.80,13.55,12.86,15.73,15.77,15.37,15.02,14.71,14.40,14.12,13.96,13.72,13.40,13.22,12.95,12.68,12.53,12.30,12.06,11.87,11.64,11.47,11.29,11.11,11.02,10.86,10.72,10.67,10.57,10.49,10.38,10.20,10.12,10.05,9.91,9.79,9.73,9.53,9.33,9.34,9.26,9.10,9.08,8.98,8.71,8.59,8.53,8.46,8.38,8.22,8.13,8.11,7.94,7.76,7.74,7.72,7.62,7.45,7.36,7.27,7.19,7.19,7.12,7.05,6.99,6.85,6.72,6.52,6.40,6.35,6.22,6.17,6.12,6.07,6.02,5.88,5.82,5.68,5.53,5.54,5.47,5.39,5.39,5.39,5.31,5.15,5.06,5.06,5.05,4.97,4.89,4.89,4.89,4.81,4.73,4.73,4.66,4.51,4.35,4.28,4.29,4.22,4.17
3,40.65,39.75,36.88,41.89,40.19,37.91,31.56,35.62,36.49,32.50,33.29,26.70,27.34,21.95,25.09,21.90,21.11,22.43,22.61,18.51,17.02,16.16,21.92,20.36,19.27,15.14,19.38,16.55,10.80,15.60,11.43,10.42,11.01,13.38,12.48,12.23,11.46,10.51,8.29,11.95,8.43,8.41,8.17,7.96,7.75,7.57,7.43,7.28,7.16,6.97,6.85,6.66,6.45,6.46,6.32,6.17,6.16,6.14,6.10,5.91,5.71,5.66,5.61,5.56,5.53,5.50,5.48,5.41,5.35,5.29,5.25,5.22,5.19,5.16,5.06,4.97,4.94,4.84,4.73,4.77,4.72,4.52,4.39,4.40,4.41,4.34,4.26,4.26,4.18,4.09,4.08,4.00,3.91,3.90,3.81,3.73,3.72,3.64,3.49,3.41,3.41,3.34,3.27,3.28,3.22,3.15,3.17,3.03,2.89,2.90,2.91,2.93,2.86,2.79,2.72,2.57,2.50,2.51,2.51,2.51,2.51,2.51,2.43,2.35,2.35,2.35,2.27,2.19,2.19,2.18,2.18,2.18,2.18,2.11,2.03,2.03,2.04,2.04,2.04,2.02
4,39.24,31.26,33.17,25.03,30.73,27.48,28.88,26.12,26.89,26.05,21.89,25.49,23.15,21.50,15.45,21.80,20.10,18.52,17.87,16.94,16.64,18.30,16.34,13.01,11.58,12.83,14.53,12.46,9.22,10.23,10.20,11.38,10.86,7.30,11.63,7.95,11.20,10.65,7.28,7.75,7.47,7.47,7.36,7.08,6.78,6.62,6.52,6.37,6.23,6.10,5.98,5.86,5.73,5.68,5.61,5.47,5.39,5.39,5.37,5.27,5.08,4.96,4.92,4.87,4.83,4.80,4.78,4.76,4.76,4.70,4.57,4.53,4.56,4.52,4.49,4.32,4.14,4.11,4.07,4.03,3.99,3.94,3.89,3.90,3.84,3.77,3.78,3.78,3.70,3.54,3.46,3.30,3.14,3.06,2.98,2.97,2.96,2.88,2.73,2.65,2.65,2.65,2.65,2.58,2.52,2.52,2.53,2.47,2.40,2.41,2.42,2.43,2.37,2.30,2.31,2.24,2.17,2.17,2.18,2.18,2.18,2.18,2.10,2.02,2.02,2.02,1.94,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.78,1.71,1.71,1.69
5,30.88,26.93,29.81,26.18,25.50,25.52,25.01,23.98,26.91,23.45,23.41,21.90,17.41,13.72,17.68,16.41,16.54,15.97,14.34,12.81,13.17,12.81,14.13,9.91,11.28,12.41,11.63,14.24,11.35,10.30,11.51,11.17,8.86,9.56,7.49,10.62,9.54,7.81,8.18,6.27,7.31,7.25,7.11,6.80,6.51,6.39,6.30,6.19,6.05,5.91,5.78,5.66,5.54,5.41,5.35,5.29,5.22,5.14,5.06,5.05,4.95,4.84,4.79,4.75,4.71,4.67,4.64,4.55,4.47,4.46,4.40,4.34,4.37,4.32,4.22,4.05,3.94,3.91,3.87,3.83,3.79,3.82,3.77,3.71,3.65,3.59,3.60,3.53,3.45,3.23,3.00,2.92,2.83,2.75,2.67,2.66,2.65,2.65,2.64,2.64,2.63,2.56,2.49,2.42,2.35,2.35,2.36,2.37,2.38,2.39,2.32,2.26,2.19,2.13,2.13,2.14,2.15,2.15,2.16,2.08,2.01,2.01,1.93,1.86,1.86,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.84,1.84,1.77,1.69,1.62,1.54,1.54,1.53
6,32.53,26.27,29.38,25.92,20.01,20.35,23.62,22.83,21.22,24.43,20.25,18.48,17.00,16.90,17.26,13.10,14.91,14.53,13.64,17.25,13.62,11.49,14.07,11.35,14.27,10.12,11.21,12.18,10.52,10.79,9.75,9.38,7.33,11.27,8.78,7.21,7.28,9.49,9.66,6.23,7.08,6.98,6.72,6.45,6.32,6.14,6.01,5.92,5.81,5.66,5.52,5.47,5.35,5.22,5.17,5.11,5.04,4.97,4.90,4.82,4.74,4.71,4.67,4.63,4.59,4.55,4.51,4.41,4.32,4.31,4.30,4.24,4.12,4.01,3.89,3.85,3.82,3.71,3.67,3.71,3.67,3.63,3.58,3.53,3.47,3.41,3.35,3.21,3.06,2.84,2.69,2.68,2.68,2.67,2.66,2.66,2.57,2.49,2.49,2.48,2.48,2.40,2.33,2.33,2.33,2.34,2.34,2.27,2.21,2.22,2.15,2.09,2.10,2.10,2.11,2.12,2.13,2.06,1.99,1.92,1.84,1.84,1.85,1.85,1.85,1.85,1.84,1.84,1.84,1.84,1.76,1.68,1.68,1.68,1.61,1.53,1.53,1.53,1.53,1.51
7,26.12,24.18,27.47,23.91,27.65,24.96,17.12,24.41,26.06,16.03,20.86,19.45,15.10,16.22,14.11,10.14,12.59,17.63,13.53,12.62,13.37,11.43,10.36,10.04,8.62,9.30,9.50,10.87,7.52,7.39,8.30,7.28,11.16,8.55,9.50,7.52,7.90,7.72,5.07,7.27,6.61,6.45,6.23,6.09,5.99,5.84,5.72,5.57,5.47,5.36,5.22,5.22,5.09,4.97,4.99,4.86,4.73,4.74,4.74,4.66,4.44,4.29,4.26,4.23,4.19,4.15,4.11,4.08,4.06,4.04,4.02,3.95,3.82,3.70,3.65,3.67,3.63,3.59,3.56,3.52,3.48,3.44,3.39,3.27,3.15,3.09,3.03,2.89,2.75,2.68,2.60,2.53,2.52,2.52,2.51,2.50,2.42,2.34,2.34,2.33,2.33,2.32,2.32,2.25,2.17,2.18,2.18,2.11,2.04,2.05,2.06,2.07,2.08,2.01,1.95,1.95,1.96,1.89,1.82,1.83,1.83,1.83,1.84,1.84,1.84,1.76,1.68,1.68,1.68,1.68,1.60,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.51
8,24.92,26.72,23.92,24.53,20.23,19.87,20.50,25.67,19.29,19.53,20.35,15.70,17.32,18.99,16.20,11.83,17.73,13.58,12.14,11.78,11.34,9.65,10.32,12.41,8.95,12.35,12.51,11.96,10.82,10.67,9.65,10.75,7.52,6.71,7.25,5.82,7.97,7.39,4.89,8.49,6.01,5.93,5.77,5.67,5.58,5.47,5.37,5.23,5.14,5.10,4.98,4.91,4.84,4.72,4.67,4.61,4.48,4.35,4.29,4.29,4.14,3.99,3.98,3.89,3.79,3.75,3.72,3.69,3.66,3.64,3.62,3.61,3.60,3.54,3.48,3.43,3.39,3.41,3.37,3.33,3.36,3.25,3.07,2.95,2.89,2.91,2.85,2.65,2.51,2.51,2.44,2.37,2.37,2.36,2.36,2.35,2.35,2.27,2.19,2.18,2.18,2.17,2.17,2.09,2.02,2.02,2.02,2.02,2.03,2.04,1.97,1.90,1.91,1.85,1.78,1.79,1.79,1.80,1.81,1.81,1.82,1.75,1.67,1.68,1.68,1.60,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.51,1.51,1.51,1.51,1.44,1.42
9,23.44,23.22,25.12,22.21,19.23,16.87,17.48,20.49,18.44,17.67,20.57,15.75,17.32,15.20,17.16,16.18,13.84,13.16,12.30,13.12,8.78,13.63,11.68,11.33,9.47,14.17,10.95,10.29,8.02,11.34,10.65,8.77,7.69,10.42,7.96,7.21,8.20,4.09,5.46,8.35,5.86,5.81,5.55,5.39,5.29,5.19,5.08,4.97,4.95,4.98,4.87,4.75,4.75,4.61,4.49,4.50,4.31,4.04,3.98,3.98,3.98,3.98,3.91,3.75,3.66,3.63,3.60,3.57,3.54,3.51,3.49,3.47,3.46,3.45,3.46,3.34,3.22,3.24,3.26,3.29,3.32,3.14,2.95,2.91,2.86,2.88,2.75,2.55,2.49,2.49,2.50,2.50,2.43,2.35,2.35,2.35,2.27,2.12,2.04,2.03,2.03,2.02,2.02,2.01,2.01,2.01,2.01,2.01,2.02,2.02,1.88,1.74,1.75,1.76,1.76,1.77,1.78,1.79,1.79,1.80,1.73,1.58,1.51,1.51,1.52,1.52,1.52,1.52,1.52,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.43,1.28,1.27
